ID;X;Y;Z
BHS02;269979.04;846193.94;15.53
BHS03;270105.04;846203.1;14.58
BHS04;270114;846222.98;14.4
BHS05;270137;846237.05;14.99
BHS06;270193.64;846298.66;15.18
BHS07;273219.93;847872.08;26.72
BHS08;273227.02;847874.03;26.76
BHS09;273247.03;847873.94;27.12
BHS10;273908;848465.02;13.71
BHS11;273969;848490.99;14.11
BHS12;274868.28;848637.36;31.29
BHS13;277370.96;850931.06;13.38
BHS14;282683.02;853830.96;22.46
BHS15;282694;853861.93;21.55
BHS16;282726.01;853857.93;21.69
BHS17;283903.92;854361.82;28.53
BHS18;283998.16;854366.52;30.55
BHS19;287417.7;854868.66;21.99
BHS20;288519.34;854505.05;18.32
BHS21;288617.41;854525.15;11.14
BHS22;288807.36;854513.98;18.57
BHS23;288952.86;854531.44;21.22
BHS24;294448.29;855861.75;35.61
BHS25;294473.35;855867.73;37.35
BHS26;273227.21;847866.58;26.98
